date,market_id,market_name,mandi_id,district,target_price_t_plus_7,split,model,prediction,lower_bound_inr_qtl,upper_bound_inr_qtl,covered,interval_width_inr_qtl,confidence_level
2025-04-23,168,Nasik,maharashtra__nasik,nashik,850.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-04-23,172,Pune,maharashtra__pune,pune,1000.0,validation,moving_average_7d,1085.7142857142858,875.3571428571428,1378.5714285714287,True,503.2142857142859,0.9
2025-04-23,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,707.1428571428571,496.7857142857141,1000.0,True,503.2142857142859,0.9
2025-04-23,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,850.0,validation,moving_average_7d,692.8571428571429,482.4999999999999,985.7142857142858,True,503.2142857142859,0.9
2025-04-23,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,914.2857142857144,703.9285714285714,1207.1428571428573,True,503.2142857142859,0.9
2025-04-23,2494,Pune(Pimpri),maharashtra__punepimpri,pune,850.0,validation,moving_average_7d,1207.142857142857,996.7857142857141,1500.0,False,503.2142857142859,0.9
2025-04-23,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1100.0,validation,moving_average_7d,1121.428571428571,911.0714285714281,1414.285714285714,True,503.2142857142859,0.9
2025-04-23,4751,Pune(Manjri),maharashtra__punemanjri,pune,1100.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-04-23,4752,Pune(Moshi),maharashtra__punemoshi,pune,800.0,validation,moving_average_7d,814.2857142857143,603.9285714285713,1107.1428571428573,True,503.214285714286,0.9
2025-04-24,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1057.142857142857,846.7857142857141,1350.0,True,503.2142857142859,0.9
2025-04-24,168,Nasik,maharashtra__nasik,nashik,850.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,True,503.2142857142859,0.9
2025-04-24,172,Pune,maharashtra__pune,pune,1000.0,validation,moving_average_7d,1085.7142857142858,875.3571428571428,1378.5714285714287,True,503.2142857142859,0.9
2025-04-24,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,707.1428571428571,496.7857142857141,1000.0,True,503.2142857142859,0.9
2025-04-24,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,700.0,validation,moving_average_7d,667.8571428571429,457.4999999999999,960.7142857142858,True,503.2142857142859,0.9
2025-04-24,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,907.1428571428572,696.7857142857142,1200.0,True,503.2142857142858,0.9
2025-04-24,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1300.0,validation,moving_average_7d,1250.0,1039.6428571428569,1542.857142857143,True,503.214285714286,0.9
2025-04-24,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1100.0,validation,moving_average_7d,1114.2857142857142,903.9285714285712,1407.142857142857,True,503.2142857142859,0.9
2025-04-24,4751,Pune(Manjri),maharashtra__punemanjri,pune,1100.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-04-24,4752,Pune(Moshi),maharashtra__punemoshi,pune,800.0,validation,moving_average_7d,800.0,589.642857142857,1092.857142857143,True,503.2142857142859,0.9
